3,A3,50,,26,,1427808.389405,14278
3,A3,50,,27,,2500.014689,25
3,A3,50,,31,,5000.029379,50
3,A3,50,,32,,18507608.745528,185075
3,A3,50,,44,,91800.539394,918
3,A3,50,,50,,21493226.288171,214931
4,A4,11,,11,,4624127.170086,46241
4,A4,12,,12,,575103.379148,5751
4,A4,21,,21,,7448443.764997,74484
4,A4,22,,22,,6107235.884427,61072
4,A4,23,,23,,2119612.454253,21196
4,A4,24,,24,,2201912.937828,22019
4,A4,25,,25,,1133306.658995,11333
4,A4,25,,26,,5400.031729,54
4,A4,26,,25,,6621838.908094,66218
4,A4,26,,26,,16924299.442451,169242
4,A4,27,,25,,186501.095829,1865
4,A4,27,,26,,1809310.631006,18093
4,A4,27,,27,,1107206.505638,11072
4,A4,31,,21,,414702.436676,4147
4,A4,31,,22,,746204.384490,7462
4,A4,31,,23,,126600.743871,1266
4,A4,31,,24,,23600.138668,236
4,A4,31,,25,,138400.813205,1384
4,A4,31,,26,,575103.379148,5751
4,A4,31,,27,,14000.082261,140
4,A4,31,,31,,2737516.084883,27375
4,A4,32,,21,,217301.276802,2173
4,A4,32,,22,,252601.484216,2526
4,A4,32,,23,,114400.672187,1144
4,A4,32,,24,,53200.312590,532
4,A4,32,,25,,982105.770581,9821
4,A4,32,,26,,1551109.113886,15511
4,A4,32,,27,,5000.029379,50
4,A4,32,,31,,1102806.479785,11028
4,A4,32,,32,,7033241.325382,70332
4,A4,32,,50,,20600.121041,206
4,A4,43,,21,,240001.410182,2400
4,A4,43,,22,,458902.696385,4589
4,A4,43,,23,,247601.454837,2476
4,A4,43,,24,,30000.176273,300
4,A4,43,,25,,382402.246889,3824
4,A4,43,,26,,796604.680628,7966
4,A4,43,,27,,39100.229742,391
4,A4,43,,31,,17500.102826,175
4,A4,43,,32,,91300.536457,913
4,A4,43,,44,,180601.061162,1806
4,A4,43,,45,,3000.017627,30
4,A4,43,,50,,83400.490038,834
4,A4,44,,21,,361902.126436,3619
4,A4,44,,22,,509002.990760,5090
4,A4,44,,23,,329201.934299,3292
4,A4,44,,24,,229001.345548,2290
4,A4,44,,25,,313101.839699,3131
4,A4,44,,26,,923005.423324,9230
4,A4,44,,27,,52700.309652,527
4,A4,44,,31,,32500.190962,325
4,A4,44,,32,,180701.061749,1807
4,A4,44,,44,,5779733.960116,57797
4,A4,44,,45,,21000.123391,210
4,A4,44,,50,,259501.524759,2595
4,A4,45,,26,,27000.158645,270
4,A4,45,,31,,5000.029379,50
4,A4,45,,32,,36000.211527,360
4,A4,45,,44,,10500.061695,105
4,A4,45,,45,,105300.618717,1053
4,A4,50,,21,,1730010.165059,17300
4,A4,50,,22,,288101.692806,2881
4,A4,50,,23,,37700.221516,377
4,A4,50,,24,,19500.114577,195
4,A4,50,,25,,77300.454196,773
4,A4,50,,26,,584303.433205,5843
4,A4,50,,27,,15100.088724,151
4,A4,50,,31,,75100.441269,751
4,A4,50,,32,,5477732.185636,54777
4,A4,50,,43,,29600.173922,296
4,A4,50,,44,,10400.061108,104
4,A4,50,,50,,7093741.680865,70937
5,A5,11,,11,,638203.749908,6382
5,A5,12,,12,,1818710.686238,18187
5,A5,21,,21,,1547609.093321,15476
5,A5,22,,22,,640803.765185,6408
5,A5,23,,23,,31500.185086,315
5,A5,24,,24,,6100.035842,61
5,A5,26,,26,,1037106.093748,10371
5,A5,27,,26,,1009705.932752,10097
5,A5,27,,27,,443902.608248,4439
5,A5,32,,21,,35300.207414,353
5,A5,32,,23,,3000.017627,30
5,A5,32,,26,,277001.627585,2770
5,A5,32,,32,,9404155.256213,94041
5,A5,32,,44,,10600.062283,106
5,A5,33,,33,,19000.111639,190
5,A5,33,,43,,2500.014689,25
5,A5,41,,32,,13500.079323,135
5,A5,41,,41,,5500.032317,55
5,A5,41,,43,,8500.049944,85
5,A5,43,,21,,16500.096950,165
5,A5,43,,22,,5000.029379,50
5,A5,43,,26,,86500.508253,865
5,A5,43,,32,,8600.050532,86
5,A5,43,,43,,849404.990868,8494
5,A5,43,,44,,1067906.274721,10679
5,A5,43,,45,,7400.043481,74
5,A5,43,,50,,236101.387266,2361
5,A5,44,,21,,36500.214465,365
5,A5,44,,26,,641603.769886,6416
5,A5,44,,27,,5500.032317,55
5,A5,44,,32,,75600.444207,756
5,A5,44,,33,,2500.014689,25
5,A5,44,,41,,42600.250307,426
5,A5,44,,43,,216801.273864,2168
5,A5,44,,44,,33987499.700984,339873
5,A5,44,,45,,167700.985364,1677
5,A5,44,,50,,989505.814062,9895
5,A5,45,,26,,17000.099888,170
5,A5,45,,32,,50300.295551,503
5,A5,45,,44,,18200.106939,182
5,A5,45,,45,,1388108.156138,13881
5,A5,45,,50,,75900.445970,759
5,A5,50,,21,,46800.274985,468
5,A5,50,,22,,3000.017627,30
5,A5,50,,26,,245301.441323,2453
5,A5,50,,32,,4218224.785115,42182
5,A5,50,,41,,12100.071097,121
5,A5,50,,43,,19100.112227,191
5,A5,50,,44,,39600.232680,396
5,A5,50,,50,,27586762.092062,275866
6,A6,11,,11,,847504.979704,8475
6,A6,12,,12,,2656315.607772,26563
6,A6,21,,21,,1281907.532133,12819
6,A6,22,,22,,261301.535335,2613
6,A6,23,,23,,67800.398376,678
6,A6,24,,24,,68100.400139,681
6,A6,26,,26,,493102.897336,4931
6,A6,27,,26,,1642509.650930,16425
6,A6,27,,27,,103000.605203,1030
6,A6,32,,21,,19200.112815,192
6,A6,32,,32,,2829316.624278,28293
6,A6,43,,21,,7500.044068,75
6,A6,43,,22,,500.002938,5
6,A6,43,,26,,48600.285562,486
6,A6,43,,32,,19500.114577,195
6,A6,43,,43,,1012405.948616,10124
6,A6,43,,44,,1149506.754183,11495
6,A6,43,,45,,22000.129267,220
6,A6,43,,50,,90000.528818,900
6,A6,44,,21,,1300.007638,13
6,A6,44,,26,,712904.188827,7129
6,A6,44,,32,,44700.262646,447
6,A6,44,,43,,191001.122270,1910
6,A6,44,,44,,31089482.673057,310893
6,A6,44,,45,,43200.253833,432
6,A6,44,,50,,360502.118210,3605
6,A6,45,,26,,51200.300839,512
6,A6,45,,32,,105500.619892,1055
6,A6,45,,44,,5500.032317,55
6,A6,45,,45,,1005605.908661,10056
6,A6,45,,50,,3000.017627,30
6,A6,50,,21,,23600.138668,236
6,A6,50,,22,,77100.453021,771
6,A6,50,,26,,441302.592971,4413
6,A6,50,,32,,8637450.751275,86374
6,A6,50,,44,,119000.699215,1190
6,A6,50,,50,,29327872.322333,293277
7,A7,11,,11,,7225042.452352,72250
7,A7,12,,12,,601503.534268,6015
7,A7,21,,21,,142600.837883,1426
7,A7,22,,22,,1518308.921161,15183
7,A7,23,,23,,52900.310828,529
7,A7,24,,24,,2431414.286314,24314
7,A7,25,,25,,616003.619466,6160
7,A7,26,,25,,3911822.984783,39118
7,A7,26,,26,,9196054.033469,91960
7,A7,27,,25,,22900.134555,229
7,A7,27,,26,,2069612.160466,20696
7,A7,27,,27,,627903.689388,6279
7,A7,31,,22,,39100.229742,391
7,A7,31,,24,,47100.276748,471
7,A7,31,,25,,166400.977726,1664
7,A7,31,,26,,425202.498372,4252
7,A7,31,,27,,3000.017627,30
